Hospital_ID,Region,Hospital_Beds,Marketing_Spend,Doctor_Visits,Patient_Count,Avg_Patient_Age,Treatment_Success_Rate,SMS_Reminder_Sent,Hospital_Rating,Monthly_Sales
H001,West,86,16130.0,674.0,854,41,0.5927185544946529,0,4.579657783128555,129044.71945586588
H002,Central,329,92508.0,916.0,1415,61,0.9320021950574715,1,4.174006540334904,341475.13365247083
H003,East,398,65566.0,302.0,893,49,0.9710444912106047,1,2.6748290142735853,252708.3430497803
H004,Central,351,71703.0,741.0,1934,62,0.728080304297292,0,4.100420559570415,288029.15902325517
H005,Central,230,32192.0,,1406,36,0.9307450253117845,0,3.177868591250462,136966.90454809807
H006,South,144,6062.0,352.0,168,47,0.5025211336698102,0,3.9820299791335567,97814.85604867511
H007,East,148,89076.0,688.0,1783,66,0.901773989529969,0,4.200329827758629,231752.29251536372
H008,East,237,94780.0,105.0,110,46,0.6120263291472126,1,3.07707297288503,246512.61683626883
H009,East,165,26545.0,775.0,1377,45,0.9452636415419903,1,3.6421466122009214,205604.28080248996
H010,Central,240,26689.0,575.0,1965,51,0.5005488546252537,0,2.9758121570476694,64835.17509398403
H011,West,302,16174.0,523.0,971,55,0.7725290501694809,1,2.630847189466271,50296.21715014185
H012,East,465,93461.0,77.0,649,30,0.8707515438546181,0,3.446191058714673,285474.8645538646
H013,Central,210,14348.0,127.0,1257,51,0.6267572820419749,0,3.40736067961498,82870.59866180761
H014,South,305,28714.0,265.0,811,64,0.5946351036477736,1,4.988701226760643,56498.72961718775
H015,West,372,43102.0,435.0,122,58,0.5412081299893124,1,3.6158808779941056,114245.29986349298
H016,South,177,79460.0,414.0,914,36,0.6599524524866136,1,3.333923873680501,175790.89686748304
H017,West,67,94930.0,715.0,445,69,0.7743237130313264,1,3.951187516791687,329444.24997602863
H018,Central,330,11801.0,575.0,401,31,0.5567634898223263,1,2.721918485269421,54773.432116473414
H019,North,272,77267.0,748.0,462,34,0.6845807273735314,1,4.904164339887033,329825.2955380316
H020,West,103,53136.0,361.0,495,69,0.5044454782798352,1,4.087400113977583,163400.01220200106
H021,South,107,28625.0,932.0,317,41,0.9011529160449225,0,4.38709454985212,113000.48482985616
H022,Central,372,87873.0,56.0,240,50,0.5629398718656637,0,2.926194845434794,213961.4119354101
H023,West,409,77592.0,52.0,1739,45,0.6388380446501349,0,3.52369463251301,214545.00824037858
H024,North,223,82052.0,672.0,1057,52,0.5090295821817266,0,3.556722783490474,262356.05475669017
H025,North,329,,968.0,1333,26,0.711797984107331,0,4.554516109752717,320457.87882891594
H026,East,163,6542.0,799.0,1084,67,0.9116595363431972,1,2.5030916993985235,57252.01649503203
H027,East,337,26677.0,412.0,1092,25,0.6921540936081463,0,3.252132770883138,91724.82696143453
H028,South,480,51732.0,800.0,1746,60,0.5879536884776784,0,4.953090935860759,203599.69228415893
H029,West,391,55343.0,557.0,1739,50,0.8693124286847544,0,3.6872163587655464,250716.22531721301
H030,West,200,44081.0,323.0,927,53,0.8865154211166647,0,3.4563157006100207,71208.27194636104
H031,East,499,67856.0,555.0,782,45,0.5851392029007078,0,2.799572505044116,236864.63684548225
H032,West,176,98105.0,855.0,1583,35,0.877718513185085,0,4.9354115715700395,272646.2411989419
H033,West,204,93858.0,788.0,1103,64,0.9641759652456057,0,2.550065889814561,320293.63444754743
H034,North,435,24065.0,932.0,455,35,0.5815250175968134,1,4.342950562518108,93249.50288197718
H035,East,322,88460.0,64.0,1107,60,0.8777823033407464,1,,128969.88301213567
H036,Central,153,93092.0,241.0,1447,63,0.8472002822552884,0,3.1091417901596667,286493.88013437425
H037,East,466,59693.0,680.0,1256,64,0.7320512053331933,1,4.178896109032593,224789.73851734344
H038,Central,442,31962.0,534.0,987,59,0.5283810256738112,1,2.7323228609484747,96875.98457602851
H039,North,348,33295.0,77.0,1928,58,0.5366002647013485,1,3.1426181660802,87570.30699284989
H040,South,295,18807.0,763.0,1963,48,0.9176831830073373,1,4.469754970730662,51993.863745617375
H041,West,225,47348.0,88.0,226,46,0.985172702647817,0,4.661715480083851,167064.99707694357
H042,North,88,31432.0,322.0,1229,29,0.8312656060215097,1,,158105.7891233404
H044,South,296,96792.0,135.0,703,60,0.8173110852669347,1,2.898260051547451,235238.27702305745
H045,South,75,62854.0,523.0,1922,44,0.7912539710219872,0,,209700.54394305183
H046,North,404,45262.0,175.0,1501,43,0.6879700075987547,0,2.7941225711838964,262003.2640517773
H047,South,355,42080.0,861.0,1113,59,0.5321568108412663,0,3.0683932502402467,195751.0873794466
H048,Central,458,6324.0,586.0,150,67,0.902541344229646,0,3.3541862547423023,4769.224249581035
H049,South,457,96267.0,194.0,1152,41,0.682198429326975,0,3.452273813777468,287406.5154745253
H051,West,365,94339.0,261.0,1419,67,0.6237292873473073,0,3.0976383304931643,309732.01549580856
H052,West,440,24870.0,74.0,1420,58,0.5005044451243603,1,3.7743106168792453,175352.36967722425
H053,West,362,39578.0,629.0,1849,33,0.5778797588056107,1,4.563215270582242,245739.5842541979
H054,Central,85,77124.0,443.0,878,50,0.7295843142166063,1,3.199258846178698,265724.6751737169
H055,East,222,31790.0,116.0,1530,26,0.9627087811293367,0,4.855967547755583,81274.38220659352
H056,North,69,30289.0,282.0,1892,33,0.5500748736499224,0,4.683341654309619,53847.412174293706
H057,West,370,60129.0,158.0,913,33,0.9185627894861673,0,2.904410528380274,105607.24783154455
H058,South,313,98714.0,195.0,1736,64,0.7582418071438124,0,4.465689891892737,145394.14452507283
H059,West,449,99246.0,160.0,1528,41,0.9047011752419494,0,3.9364684557944165,318217.7881503961
H060,South,191,20485.0,277.0,1469,25,0.6462034711850964,1,3.916438405428546,83865.72398878002
H061,South,420,,160.0,1745,49,0.9115741106895112,1,3.477606907645436,207540.80832265638
H062,West,192,91188.0,519.0,519,67,0.8786831622082342,0,3.7528824979550244,335026.5742617394
H063,Central,141,9748.0,83.0,1305,64,0.6127263046854026,0,3.4929469435730276,54500.277195120485
H064,South,403,91769.0,672.0,1082,66,0.5643542119405952,0,3.8493315468998572,290580.5804856575
H065,South,371,14435.0,825.0,924,49,0.9253466180408235,0,4.06987513193159,71691.48277512667
H066,West,337,,985.0,1124,63,0.9719859601856646,1,4.185759516022621,73948.2791413796
H067,South,264,35355.0,418.0,1954,59,0.515338133736283,0,3.8312029813985653,177660.9956236467
H068,South,496,60771.0,797.0,666,27,0.8583223328171059,0,4.303555168321829,198008.74848173448
H069,West,391,62799.0,644.0,470,61,0.945667010364431,0,2.8531951231887644,184207.1166623588
